State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
WA,143,510,362-3107,no,no,0,133.4,107,22.68,223.9,117,19.03,180.4,85,8.12,10.2,13,2.75,1,False.
DC,93,408,345-1994,no,yes,22,306.2,123,52.05,189.7,83,16.12,240.3,107,10.81,11.7,2,3.16,0,False.
KY,79,415,377-5417,no,no,0,236.8,135,40.26,186.4,87,15.84,126.9,112,5.71,10.4,5,2.81,2,False.
OH,68,415,369-8574,yes,yes,24,125.7,92,21.37,275.9,98,23.45,214.5,108,9.65,14.2,6,3.83,3,True.
TN,93,510,344-6847,yes,no,0,168.4,114,28.63,276,127,23.46,196.2,48,8.83,11.4,3,3.08,1,False.
ID,103,415,391-7528,no,no,0,70.9,134,12.05,134.5,112,11.43,168.8,164,7.6,12,6,3.24,2,False.
WV,144,510,393-6053,no,yes,38,105,86,17.85,121.8,123,10.35,221.5,122,9.97,3.7,4,1,0,False.
WI,93,415,392-6286,no,no,0,152.1,141,25.86,215.5,107,18.32,262.4,111,11.81,12,7,3.24,1,False.
OK,149,510,365-9079,yes,no,0,180.9,79,30.75,194.9,83,16.57,197.8,109,8.9,8.8,9,2.38,3,False.
WV,23,510,399-3089,no,yes,31,156.6,84,26.62,161.5,96,13.73,294.6,107,13.26,9.4,6,2.54,1,False.
SD,221,510,365-2192,no,yes,24,180.5,85,30.69,224.1,92,19.05,205.7,103,9.26,2.4,3,0.65,0,False.
KS,164,510,394-3051,no,yes,30,238.8,100,40.6,230,121,19.55,206.3,66,9.28,13.2,8,3.56,1,False.
NC,104,415,357-2429,no,yes,18,182.1,66,30.96,213.6,65,18.16,193,108,8.69,13.4,9,3.62,2,False.
NY,150,415,421-6268,no,yes,35,139.6,72,23.73,332.8,170,28.29,213.8,105,9.62,8.8,2,2.38,2,False.
WI,184,408,401-5915,no,yes,12,200.3,76,34.05,253.6,105,21.56,149.3,93,6.72,10.2,5,2.75,0,False.
SC,88,408,348-6057,no,no,0,153.5,94,26.1,251.7,118,21.39,182.2,99,8.2,8.5,6,2.3,1,False.
UT,61,415,349-3843,yes,yes,29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,11.7,6,3.16,3,False.
NC,110,408,396-5561,no,no,0,159.5,145,27.12,202.3,101,17.2,256,96,11.52,16.7,2,4.51,2,False.
IN,115,415,370-9622,no,no,0,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,True.
AR,33,408,371-9602,no,no,0,251.9,81,42.82,194.6,96,16.54,211.2,87,9.5,8.4,3,2.27,2,False.
ME,100,510,351-2815,no,no,0,264.5,117,44.97,194,111,16.49,262.7,111,11.82,7.5,4,2.03,2,True.
NY,209,415,369-8703,no,no,0,153.7,105,26.13,188.6,87,16.03,200.8,95,9.04,10.7,2,2.89,0,False.
OR,27,510,355-2840,no,no,0,232.1,81,39.46,210.8,101,17.92,165.4,87,7.44,15,6,4.05,5,False.
IL,117,415,372-1115,no,no,0,201.9,86,34.32,212.3,96,18.05,176.9,98,7.96,7.8,10,2.11,1,False.
MA,87,408,337-2986,no,no,0,186.9,79,31.77,182.6,105,15.52,143.1,90,6.44,4.2,14,1.13,1,False.
CT,129,510,404-3238,no,yes,27,196.6,89,33.42,180.6,95,15.35,245,83,11.03,6.6,5,1.78,1,False.
WI,142,510,397-4968,no,no,0,232.1,102,39.46,168.2,110,14.3,197.3,120,8.88,9.9,3,2.67,1,False.
OK,112,415,327-1058,no,no,0,166,79,28.22,74.6,100,6.34,247.9,74,11.16,6.3,7,1.7,0,False.
DE,75,510,419-9509,no,yes,28,200.6,96,34.1,164.1,111,13.95,169.6,153,7.63,2.5,5,0.68,1,False.
AZ,97,408,349-7282,no,yes,25,141,101,23.97,212,85,18.02,175.2,138,7.88,4.9,2,1.32,3,False.
AK,121,408,382-5743,no,yes,34,245,95,41.65,216.9,66,18.44,112.4,125,5.06,7.5,8,2.03,0,False.
MI,142,415,358-2694,yes,no,0,140.8,140,23.94,228.6,119,19.43,152.9,88,6.88,10.9,7,2.94,1,False.
WA,121,510,378-1884,no,no,0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3,True.
SD,87,415,330-1627,no,yes,33,125,99,21.25,235.3,81,20,215.3,95,9.69,10.2,7,2.75,2,False.
SD,34,408,392-5716,no,no,0,180.6,65,30.7,280.4,99,23.83,292.4,105,13.16,5,3,1.35,1,False.
AK,177,415,384-6132,yes,no,0,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1,True.
MA,58,415,359-2740,no,yes,30,178.1,111,30.28,236.7,109,20.12,264,118,11.88,8.4,2,2.27,0,False.
AR,113,415,338-6714,yes,no,0,122.2,112,20.77,131.7,94,11.19,169.5,106,7.63,10.3,9,2.78,5,True.
KS,101,415,347-9968,no,no,0,231.3,87,39.32,224.7,88,19.1,214.6,69,9.66,7.2,7,1.94,1,False.
OR,89,415,343-3399,no,no,0,111.2,101,18.9,122.1,94,10.38,180.8,85,8.14,12.6,2,3.4,3,False.
NC,77,408,334-6129,yes,yes,44,103.2,117,17.54,236.3,86,20.09,203.5,101,9.16,11.9,2,3.21,0,True.
OK,146,510,377-4975,no,no,0,138.4,104,23.53,158.9,122,13.51,47.4,73,2.13,3.9,9,1.05,4,True.
NJ,93,415,405-3533,no,no,0,146.3,85,24.87,216.6,95,18.41,233,82,10.49,11.5,3,3.11,0,False.
OH,160,415,337-9326,no,no,0,206.3,66,35.07,241.1,109,20.49,227.8,102,10.25,11.7,6,3.16,0,False.
NM,55,415,338-6556,no,no,0,132,103,22.44,279.6,114,23.77,180,74,8.1,13.5,4,3.65,0,False.
OH,88,408,354-3040,no,no,0,274.6,105,46.68,161.1,121,13.69,194.4,123,8.75,9.2,4,2.48,2,False.
MI,63,510,396-1278,no,no,0,185.3,87,31.5,225.3,87,19.15,194.3,93,8.74,11.7,3,3.16,0,False.
KS,127,415,354-6810,no,yes,24,154.8,69,26.32,177.2,105,15.06,207.6,102,9.34,9,4,2.43,1,False.
IL,57,415,403-6237,no,yes,30,179.2,105,30.46,283.2,83,24.07,228.1,77,10.26,14.7,5,3.97,1,False.
RI,138,510,411-6823,yes,no,0,286.2,61,48.65,187.2,60,15.91,146.2,114,6.58,11,4,2.97,2,True.
AR,115,408,338-1400,no,no,0,268,115,45.56,153.6,106,13.06,232.3,65,10.45,17,1,4.59,3,False.
NY,171,415,412-6245,no,no,0,137.5,110,23.38,198.1,109,16.84,292.7,131,13.17,13.3,5,3.59,2,False.
WY,148,408,377-3417,no,no,0,243,115,41.31,191.8,91,16.3,117.8,93,5.3,13.4,5,3.62,2,False.
NC,127,510,343-2597,no,no,0,134.9,79,22.93,221.5,114,18.83,113.8,118,5.12,15,2,4.05,1,False.
OR,61,415,388-8282,no,no,0,234.2,76,39.81,216.7,108,18.42,130.6,122,5.88,13.9,2,3.75,1,False.
VT,131,415,416-8394,no,no,0,175.1,73,29.77,171.9,116,14.61,131.1,94,5.9,7.3,6,1.97,1,False.
SD,88,408,343-6643,no,no,0,142.2,107,24.17,262.4,84,22.3,139.2,99,6.26,10.1,5,2.73,1,False.
DC,130,510,330-4364,no,no,0,132.4,81,22.51,200.3,110,17.03,202.5,103,9.11,6,1,1.62,2,False.
RI,89,415,414-1537,no,yes,24,97.8,98,16.63,207.2,67,17.61,214.5,126,9.65,5.9,2,1.59,0,False.
ID,82,415,408-1913,no,no,0,266.9,83,45.37,229.7,74,19.52,251.7,99,11.33,11,6,2.97,3,True.
OK,138,510,406-5532,no,yes,33,155.2,139,26.38,268.3,79,22.81,186.4,71,8.39,9.7,4,2.62,3,False.
MN,115,415,417-7722,no,no,0,200.2,92,34.03,244.9,107,20.82,190.9,96,8.59,8.8,3,2.38,1,False.
WA,84,415,367-5226,no,no,0,289.1,100,49.15,233.8,97,19.87,223.5,148,10.06,12.7,2,3.43,2,True.
WV,117,510,344-5766,yes,no,0,198.4,121,33.73,249.5,104,21.21,162.8,115,7.33,10.5,5,2.84,1,False.
NH,60,415,405-1370,no,no,0,180.3,67,30.65,208,68,17.68,181.2,101,8.15,12.8,6,3.46,2,False.
WI,62,415,368-9073,no,no,0,86.3,84,14.67,238.7,99,20.29,238.4,79,10.73,12.5,1,3.38,2,False.
MD,133,510,373-7974,no,no,0,295,141,50.15,223.6,101,19.01,229.4,109,10.32,12.9,4,3.48,2,True.
IN,131,408,371-4633,no,no,0,240.9,108,40.95,167.4,91,14.23,322.2,109,14.5,14.7,8,3.97,3,False.
IN,65,408,336-4960,no,no,0,207.7,109,35.31,217.5,117,18.49,125.6,111,5.65,8,5,2.16,1,False.
NY,120,510,405-5083,no,yes,27,128.5,115,21.85,163.7,91,13.91,242.9,121,10.93,0,0,0,1,False.
OR,142,510,392-1105,no,yes,22,224.4,114,38.15,146,106,12.41,241.4,98,10.86,8.8,2,2.38,1,False.
OK,134,415,378-2397,no,no,0,164.9,115,28.03,126.5,96,10.75,238.5,125,10.73,10,9,2.7,2,False.
WI,87,415,331-4184,no,no,0,238,97,40.46,164.5,97,13.98,282.5,132,12.71,10.6,6,2.86,2,False.
NJ,139,415,376-2408,no,yes,43,231,85,39.27,222.3,82,18.9,148,105,6.66,8.3,5,2.24,2,False.
AR,76,408,345-3614,no,no,0,107.3,140,18.24,238.2,133,20.25,271.8,116,12.23,10,3,2.7,4,True.
UT,100,408,370-9296,no,no,0,185,122,31.45,182.5,92,15.51,274.9,92,12.37,5.1,8,1.38,1,False.
DC,99,415,402-5076,no,yes,31,244.1,71,41.5,203.4,58,17.29,234,115,10.53,7.7,4,2.08,3,False.
AK,99,510,401-7334,no,no,0,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,12.4,4,3.35,3,False.
AZ,48,415,409-3428,no,yes,27,141.1,109,23.99,224.7,94,19.1,174.3,122,7.84,13.2,2,3.56,1,False.
KS,57,415,362-2067,no,no,0,158.1,117,26.88,115.2,149,9.79,182.4,92,8.21,11.8,7,3.19,0,False.
OH,106,415,352-2270,no,yes,30,220.1,105,37.42,222.2,109,18.89,158.4,96,7.13,13.1,8,3.54,0,False.
KS,170,415,404-5840,no,yes,42,199.5,119,33.92,135,90,11.48,184.6,49,8.31,10.9,3,2.94,4,True.
SC,78,415,360-3126,no,no,0,109.5,105,18.62,286.1,90,24.32,247.6,113,11.14,4.9,9,1.32,1,False.
TN,39,408,364-8731,no,no,0,187.2,110,31.82,114.7,116,9.75,104.7,83,4.71,13.2,5,3.56,1,False.
CA,127,510,388-4331,no,no,0,107.9,128,18.34,187,77,15.9,218.5,95,9.83,0,0,0,0,False.
MI,119,510,335-7324,yes,yes,22,172.1,119,29.26,223.6,133,19.01,150,94,6.75,13.9,20,3.75,1,True.
IN,114,408,362-8886,no,no,0,203.8,85,34.65,87.8,110,7.46,166.2,122,7.48,11.7,4,3.16,1,False.
RI,95,408,410-4882,no,no,0,160,133,27.2,215.3,98,18.3,188.9,87,8.5,9.1,4,2.46,0,False.
MO,116,408,371-1139,no,no,0,51.1,106,8.69,208.6,137,17.73,198,92,8.91,12.3,3,3.32,1,False.
TN,110,415,391-5516,no,no,0,227.7,88,38.71,170,96,14.45,128.7,57,5.79,11.7,5,3.16,1,False.
CT,74,510,380-3186,no,no,0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9,2,2.43,1,False.
ME,148,408,347-9995,no,yes,33,241.7,84,41.09,165.8,84,14.09,160.6,80,7.23,11.3,3,3.05,1,False.
MD,83,510,340-9013,no,no,0,78.1,70,13.28,239.3,115,20.34,144.4,112,6.5,12.3,4,3.32,1,False.
NC,73,408,362-8378,no,no,0,187.8,95,31.93,149.2,143,12.68,201.4,113,9.06,11,4,2.97,2,False.
SC,111,415,418-8969,no,yes,21,127.1,94,21.61,228.3,116,19.41,166.7,108,7.5,7.1,3,1.92,1,False.
CA,84,415,417-1488,no,no,0,280,113,47.6,202.2,90,17.19,156.8,103,7.06,10.4,4,2.81,0,True.
LA,75,510,358-9898,yes,no,0,153.2,78,26.04,210.8,99,17.92,153.5,100,6.91,7.8,3,2.11,1,False.
WI,114,415,373-7308,no,yes,26,137.1,88,23.31,155.7,125,13.23,247.6,94,11.14,11.5,7,3.11,2,False.
IL,71,510,330-7137,yes,no,0,186.1,114,31.64,198.6,140,16.88,206.5,80,9.29,13.8,5,3.73,4,True.
IN,58,415,406-8445,no,yes,22,224.1,127,38.1,238.8,85,20.3,174.2,86,7.84,11.5,7,3.11,2,False.
AL,106,408,404-5283,no,yes,29,83.6,131,14.21,203.9,131,17.33,229.5,73,10.33,8.1,3,2.19,1,False.
OK,172,408,398-3632,no,no,0,203.9,109,34.66,234,123,19.89,160.7,65,7.23,17.8,4,4.81,4,False.
IA,45,415,399-5763,no,no,0,211.3,87,35.92,165.7,97,14.08,265.9,72,11.97,13.3,6,3.59,1,False.
VT,100,408,340-9449,yes,no,0,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,12,4,3.24,4,False.
NY,94,415,363-1123,no,no,0,190.4,91,32.37,92,107,7.82,224.8,108,10.12,13.6,17,3.67,2,False.
LA,128,415,361-2170,no,no,0,147.7,94,25.11,283.3,83,24.08,188.3,124,8.47,6.9,5,1.86,2,False.
SC,181,408,406-6304,no,no,0,229.9,130,39.08,144.4,93,12.27,262.4,110,11.81,14.2,4,3.83,2,False.
ID,127,408,392-5090,no,no,0,102.8,128,17.48,143.7,95,12.21,191.4,97,8.61,10,5,2.7,1,False.
MO,89,415,373-7713,no,no,0,178.7,81,30.38,233.7,74,19.86,131.9,120,5.94,9.1,4,2.46,1,False.
ME,149,415,392-1376,no,yes,18,148.5,106,25.25,114.5,106,9.73,178.3,98,8.02,6.5,4,1.76,0,False.
MS,103,510,390-6388,no,yes,29,164.1,111,27.9,219.1,96,18.62,220.3,108,9.91,12.3,9,3.32,0,False.
SD,163,415,379-7290,yes,no,0,197.2,90,33.52,188.5,113,16.02,211.1,94,9.5,7.8,8,2.11,1,False.
OK,52,415,397-9928,no,no,0,124.9,131,21.23,300.5,118,25.54,192.5,106,8.66,11.6,4,3.13,2,False.
WY,89,415,378-6924,no,no,0,115.4,99,19.62,209.9,115,17.84,280.9,112,12.64,15.9,6,4.29,3,False.
GA,122,510,411-5677,yes,no,0,140,101,23.8,196.4,77,16.69,120.1,133,5.4,9.7,4,2.62,4,True.
VT,60,415,400-2738,no,no,0,193.9,118,32.96,85,110,7.23,210.1,134,9.45,13.2,8,3.56,3,False.
MD,62,408,409-1856,no,no,0,321.1,105,54.59,265.5,122,22.57,180.5,72,8.12,11.5,2,3.11,4,True.
IN,117,415,362-5899,no,no,0,118.4,126,20.13,249.3,97,21.19,227,56,10.22,13.6,3,3.67,5,True.
WV,159,415,377-1164,no,no,0,169.8,114,28.87,197.7,105,16.8,193.7,82,8.72,11.6,4,3.13,1,False.
OH,78,408,368-8555,no,no,0,193.4,99,32.88,116.9,88,9.94,243.3,109,10.95,9.3,4,2.51,2,False.
OH,96,415,347-6812,no,no,0,106.6,128,18.12,284.8,87,24.21,178.9,92,8.05,14.9,7,4.02,1,False.
SC,79,415,348-3830,no,no,0,134.7,98,22.9,189.7,68,16.12,221.4,128,9.96,11.8,5,3.19,2,False.
AZ,192,415,414-4276,no,yes,36,156.2,77,26.55,215.5,126,18.32,279.1,83,12.56,9.9,6,2.67,2,False.
WV,68,415,370-3271,no,no,0,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3,False.
RI,28,510,328-8230,no,no,0,180.8,109,30.74,288.8,58,24.55,191.9,91,8.64,14.1,6,3.81,2,False.
CT,184,510,364-6381,yes,no,0,213.8,105,36.35,159.6,84,13.57,139.2,137,6.26,5,10,1.35,2,False.
TN,74,415,400-4344,no,yes,25,234.4,113,39.85,265.9,82,22.6,241.4,77,10.86,13.7,4,3.7,0,False.
